Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Supporting Engineering of Information Systems in Emergent Organizations","Information Systems Research","","","","10.1007/1-4020-8095-6_11","Sandeep PuraoDuane P. Truex III","2004","http://link.springer.com/chapter/10.1007/1-4020-8095-6_11","Chapter"
"Agile product development through CAD and rapid prototyping technologies: an examination in a traditional pump-manufacturing company","The International Journal of Advanced Manufacturing Technology","","46","5 - 8","10.1007/s00170-009-2142-4","S. VinodhS. R. DevadasanS. MaheshkumarM. AravindakshanM. ArumugamK. Balakrishnan","2010","http://link.springer.com/article/10.1007/s00170-009-2142-4","Article"
"Thirty-criteria-based agility assessment: a case study in an Indian pump manufacturing organisation","The International Journal of Advanced Manufacturing Technology","","63","9 - 12","10.1007/s00170-012-3988-4","S. VinodhV. Uday KumarR. Jeya Girubha","2012","http://link.springer.com/article/10.1007/s00170-012-3988-4","Article"
"Architecturing large integrated complex information systems: an application to healthcare","Knowledge and Information Systems","","27","1","10.1007/s10115-010-0292-1","Daniel PascotFaouzi BouslamaSehl Mellouli","2011","http://link.springer.com/article/10.1007/s10115-010-0292-1","Article"
"A decision-support framework for agile enterprise partnering","The International Journal of Advanced Manufacturing Technology","","41","1 - 2","10.1007/s00170-008-1443-3","J. RenY. Y. YusufN. D. Burns","2009","http://link.springer.com/article/10.1007/s00170-008-1443-3","Article"
"Society of general internal medicine 22nd annual meeting San Francisco, California April 29–May 1, 1999 abstracts","Journal of General Internal Medicine","","14","2","10.1046/j.1525-1497.1999.1420005.x","","1999","http://link.springer.com/article/10.1046/j.1525-1497.1999.1420005.x","Article"
"Supply Chain Management","Strategic Production Networks","","","","10.1007/978-3-540-24812-5_7","Frank Possel-DoelkenLi ZhengPaul SchoenslebenRico WojanowskiMichael SchenkDaniel PalmWilfried SihnKristijan ErzenMarcus Klaschka","2002","http://link.springer.com/chapter/10.1007/978-3-540-24812-5_7","Chapter"
"A novel lifecycle model for Web-based application development in small and medium enterprises","International Journal of Automation and Computing","","7","3","10.1007/s11633-010-0519-3","Wei HuangRu LiCarsten MapleHong-Ji YangDavid FoskettVince Cleaver","2010","http://link.springer.com/article/10.1007/s11633-010-0519-3","Article"
"A network approach for modeling and design of agile supply chains using a flexibility construct","International Journal of Flexible Manufacturing Systems","","19","4","10.1007/s10696-008-9044-x","Subhash WadhwaMadhawanand MishraAvneet Saxena","2008","http://link.springer.com/article/10.1007/s10696-008-9044-x","Article"
"GenUTest: a unit test and mock aspect generation tool","International Journal on Software Tools for Technology Transfer","","11","4","10.1007/s10009-009-0115-4","Benny PasternakShmuel TyszberowiczAmiram Yehudai","2009","http://link.springer.com/article/10.1007/s10009-009-0115-4","Article"
"R","StarBriefs Plus","","","","10.1007/978-0-306-48603-6_18","André Heck","2004","http://link.springer.com/chapter/10.1007/978-0-306-48603-6_18","Chapter"
"Challenges and practices in aligning requirements with verification and validation: a case study of six companies","Empirical Software Engineering","","19","6","10.1007/s10664-013-9263-y","Elizabeth BjarnasonPer RunesonMarkus BorgMichael UnterkalmsteinerEmelie EngströmBjörn RegnellGiedre SabaliauskaiteAnnabella LoconsoleTony GorschekRobert Feldt","2014","http://link.springer.com/article/10.1007/s10664-013-9263-y","Article"
"Towards a Unified Definition of Open Source Quality","Open Source Systems: Grounding Research","","","","10.1007/978-3-642-24418-6_2","Claudia RuizWilliam Robinson","2011","http://link.springer.com/chapter/10.1007/978-3-642-24418-6_2","Chapter"
"Analysis on critical success factors for agile manufacturing evaluation in original equipment manufacturing industry-an AHP approach","Chinese Journal of Mechanical Engineering","","29","5","10.3901/CJME.2016.0608.071","C. Ajay Guru DevV. S. Senthil Kumar","2016","http://link.springer.com/article/10.3901/CJME.2016.0608.071","Article"
"Software SMEs’ unofficial readiness for CMMI®-based software process improvement","Software Quality Journal","","24","4","10.1007/s11219-015-9277-3","Javed IqbalRodina Binti AhmadMohd Hairul Nizam Md NasirMahmood NiaziShahaboddin ShamshirbandMuhammad Asim Noor","2016","http://link.springer.com/article/10.1007/s11219-015-9277-3","Article"
"CONFERENCES","European Journal of Clinical Pharmacology","","66","1","10.1007/s00228-010-0891-5","","2010","http://link.springer.com/article/10.1007/s00228-010-0891-5","Article"
"Computer-aided design of experiments: an enabler of agile manufacturing","The International Journal of Advanced Manufacturing Technology","","44","9 - 10","10.1007/s00170-008-1903-9","S. VinodhG. SundararajS. R. DevadasanD. KuttalingamD. Rajanayagam","2009","http://link.springer.com/article/10.1007/s00170-008-1903-9","Article"
"Introduction to Petri Nets in Flexible and Agile Automation","Petri Nets in Flexible and Agile Automation","","","","10.1007/978-1-4615-2231-7_1","MengChu ZhouRichard Zurawski","1995","http://link.springer.com/chapter/10.1007/978-1-4615-2231-7_1","Chapter"
"From testing to anti-product development","International Journal on Software Tools for Technology Transfer","","10","4","10.1007/s10009-008-0074-1","Markus Warken","2008","http://link.springer.com/article/10.1007/s10009-008-0074-1","Article"
"Predicting a model for agile NPD process with fuzzy cognitive map: the case of Iranian manufacturing enterprises","The International Journal of Advanced Manufacturing Technology","","41","11 - 12","10.1007/s00170-008-1565-7","Roxana FekriAlireza AliahmadiMohammad Fathian","2009","http://link.springer.com/article/10.1007/s00170-008-1565-7","Article"
"Agile Planning Processes","Advances in Production Management Systems. Sustainable Production and Service Supply Chains","","","","10.1007/978-3-642-41266-0_18","Ralph RiedelDavid JentschSebastian HorbachJoerg AckermannEgon Müller","2013","http://link.springer.com/chapter/10.1007/978-3-642-41266-0_18","Chapter"
"ESMRMB 2008 Congress, Valencia, Spain, 2–4 October: EPOSGäó Posters / Info-RESO","Magnetic Resonance Materials in Physics, Biology and Medicine","","21","1","10.1007/s10334-008-0126-2","","2008","http://link.springer.com/article/10.1007/s10334-008-0126-2","Article"
"Towards lean service bus architecture for industrial integration infrastructure and pull manufacturing strategies","Journal of Intelligent Manufacturing","","23","1","10.1007/s10845-010-0401-8","Ahlem ZayatiFrédérique BiennierMohamed MoallaYouakim Badr","2012","http://link.springer.com/article/10.1007/s10845-010-0401-8","Article"
"Agile manufacturing: framework and its empirical validation","The International Journal of Advanced Manufacturing Technology","","76","9 - 12","10.1007/s00170-014-6455-6","Rameshwar DubeyAngappa Gunasekaran","2015","http://link.springer.com/article/10.1007/s00170-014-6455-6","Article"
"Distributed Demand Flow Customization","The Customer Centric Enterprise","","","","10.1007/978-3-642-55460-5_20","Dr. Alexander TsigkasErik de JonghAgis PapantoniouVassilis Loumos","2003","http://link.springer.com/chapter/10.1007/978-3-642-55460-5_20","Chapter"
"Identifying the cause and effect factors of agile NPD process with fuzzy DEMATEL method: the case of Iranian companies","Journal of Intelligent Manufacturing","","20","6","10.1007/s10845-008-0153-x","Roxana FekriAlireza AliahmadiMohammad Fathian","2008","http://link.springer.com/article/10.1007/s10845-008-0153-x","Article"
"Preliminaries: 00 and Design Patterns 101","Holub on Patterns: Learning Design Patterns by Looking at Code","","","","10.1007/978-1-4302-0725-2_1","Allen Holub","2004","http://link.springer.com/chapter/10.1007/978-1-4302-0725-2_1","Chapter"
"S","The Informatics Handbook","","","","10.1007/978-1-4615-2093-1_20","Stewart Fist","1996","http://link.springer.com/chapter/10.1007/978-1-4615-2093-1_20","Chapter"
"F","StarBriefs Plus","","","","10.1007/978-0-306-48603-6_6","André Heck","2004","http://link.springer.com/chapter/10.1007/978-0-306-48603-6_6","Chapter"
"From offshore outsourcing to insourcing and partnerships: four failed outsourcing attempts","Empirical Software Engineering","","19","5","10.1007/s10664-013-9272-x","Nils Brede MoeDarja ŠmiteGeir Kjetil HanssenHamish Barney","2014","http://link.springer.com/article/10.1007/s10664-013-9272-x","Article"
"Challenges and industry practices for managing software variability in small and medium sized enterprises","Empirical Software Engineering","","19","4","10.1007/s10664-013-9253-0","Tuomas IhmeMinna PikkarainenSusanna TeppolaJukka KääriäinenOlivier Biot","2014","http://link.springer.com/article/10.1007/s10664-013-9253-0","Article"
"R","Communications Standard Dictionary","","","","10.1007/978-1-4613-0429-6_18","Martin H. Weik D.Sc.","1996","http://link.springer.com/chapter/10.1007/978-1-4613-0429-6_18","Chapter"
"Professional Ethics of Software Engineers: An Ethical Framework","Science and Engineering Ethics","","22","2","10.1007/s11948-015-9665-x","Yotam LurieShlomo Mark","2016","http://link.springer.com/article/10.1007/s11948-015-9665-x","Article"
"Design science in action: developing a modeling technique for eliciting requirements on business process management (BPM) tools","Software & Systems Modeling","","14","3","10.1007/s10270-014-0412-6","Ilia BiderErik Perjons","2015","http://link.springer.com/article/10.1007/s10270-014-0412-6","Article"
"Integrated fuzzy AHP and fuzzy VIKOR model for supplier selection in an agile and modular virtual enterprise","Fuzzy Information and Engineering","","3","4","10.1007/s12543-011-0095-4","Peyman MohammadyAmin Amid","2011","http://link.springer.com/article/10.1007/s12543-011-0095-4","Article"
"Abstracts of the 16th International Congress of ESCAP European Society for Child and Adolescent Psychiatry","European Child & Adolescent Psychiatry","","24","1","10.1007/s00787-015-0714-4","","2015","http://link.springer.com/article/10.1007/s00787-015-0714-4","Article"
"An empirically based terminology and taxonomy for global software engineering","Empirical Software Engineering","","19","1","10.1007/s10664-012-9217-9","Darja ŠmiteClaes WohlinZane GalviņaRafael Prikladnicki","2014","http://link.springer.com/article/10.1007/s10664-012-9217-9","Article"
"Introducing UML: Object-Oriented Analysis and Design","UML Applied: A .NET Perspective","","","","10.1007/978-1-4302-0712-2_1","Martin L. Shoemaker","2004","http://link.springer.com/chapter/10.1007/978-1-4302-0712-2_1","Chapter"
"Using Developer Activity Data to Enhance Awareness during Collaborative Software Development","Computer Supported Cooperative Work (CSCW)","","18","5 - 6","10.1007/s10606-009-9104-0","Inah OmoronyiaJohn FergusonMarc RoperMurray Wood","2009","http://link.springer.com/article/10.1007/s10606-009-9104-0","Article"
"M","StarBriefs Plus","","","","10.1007/978-0-306-48603-6_13","André Heck","2004","http://link.springer.com/chapter/10.1007/978-0-306-48603-6_13","Chapter"
"Development and Build System with Ant","Enterprise Java Development on a Budget: Leveraging Java Open Source Technologies","","","","10.1007/978-1-4302-0682-8_3","Brian Sam-Bodden dual bachelor degreesChristopher Judd Bachelor’s degree","2004","http://link.springer.com/chapter/10.1007/978-1-4302-0682-8_3","Chapter"
"Testing in the Wild: The Social and Organisational Dimensions of Real World Practice","Computer Supported Cooperative Work (CSCW)","","18","5 - 6","10.1007/s10606-009-9098-7","John RooksbyMark RouncefieldIan Sommerville","2009","http://link.springer.com/article/10.1007/s10606-009-9098-7","Article"
"Pragmatic Software Innovation","Creating Value for All Through IT","","","","10.1007/978-3-662-43459-8_9","Ivan AaenRikke Hagensby Jensen","2014","http://link.springer.com/chapter/10.1007/978-3-662-43459-8_9","Chapter"
"Software process improvement in small and medium software enterprises: a systematic review","Software Quality Journal","","16","2","10.1007/s11219-007-9038-z","Francisco J. PinoFélix GarcíaMario Piattini","2008","http://link.springer.com/article/10.1007/s11219-007-9038-z","Article"
"CBRFlow: Enabling Adaptive Workflow Management Through Conversational Case-Based Reasoning","Advances in Case-Based Reasoning","","","","10.1007/978-3-540-28631-8_32","Barbara WeberWerner WildRuth Breu","2004","http://link.springer.com/chapter/10.1007/978-3-540-28631-8_32","Chapter"
"S","StarBriefs Plus","","","","10.1007/978-0-306-48603-6_19","André Heck","2004","http://link.springer.com/chapter/10.1007/978-0-306-48603-6_19","Chapter"
"Value Stream Mapping: a study about the problems and challenges found in the literature from the past 15 years about application of Lean tools","The International Journal of Advanced Manufacturing Technology","","72","5 - 8","10.1007/s00170-014-5712-z","Ana Julia Dal FornoFernando Augusto PereiraFernando Antonio ForcelliniLiane M. Kipper","2014","http://link.springer.com/article/10.1007/s00170-014-5712-z","Article"
"World Directory of Robotics Research and Development Activities","The World Yearbook of Robotics Research and Development","","","","10.1007/978-94-011-9708-3_9","Dr. Peter B. Scott","1986","http://link.springer.com/chapter/10.1007/978-94-011-9708-3_9","Chapter"
"Critical analysis of vendor lock-in and its impact on cloud computing migration: a business perspective","Journal of Cloud Computing","","5","1","10.1186/s13677-016-0054-z","Justice Opara-MartinsReza SahandiFeng Tian","2016","http://link.springer.com/article/10.1186/s13677-016-0054-z","Article"
"Abstracts","European Spine Journal","","16","11","10.1007/s00586-007-0524-6","","2007","http://link.springer.com/article/10.1007/s00586-007-0524-6","Article"
"A","Communications Standard Dictionary","","","","10.1007/978-1-4613-0429-6_1","Martin H. Weik D.Sc.","1996","http://link.springer.com/chapter/10.1007/978-1-4613-0429-6_1","Chapter"
"Final Program: 59th ASMS Conference on Mass Spectrometry and Allied Topics, June 5-9, 2011, Denver, Colorado","Journal of The American Society for Mass Spectrometry","","22","1","10.1007/s13361-011-0127-7","","2011","http://link.springer.com/article/10.1007/s13361-011-0127-7","Article"
"The Engagement Perspective","Perspectives on Web Services","","","","10.1007/978-3-642-55514-5_6","Olaf ZimmermannMark TomlinsonStefan Peuser","2003","http://link.springer.com/chapter/10.1007/978-3-642-55514-5_6","Chapter"
"Designing Project Management for Global Software Development","Creating Value for All Through IT","","","","10.1007/978-3-662-43459-8_8","Gitte TjørnehøjMaria B. BaloghCathrine IversenStine Sørensen","2014","http://link.springer.com/chapter/10.1007/978-3-662-43459-8_8","Chapter"
"I","StarBriefs Plus","","","","10.1007/978-0-306-48603-6_9","André Heck","2004","http://link.springer.com/chapter/10.1007/978-0-306-48603-6_9","Chapter"
"A roadmap for implementing new manufacturing technology based on STEP-NC","Journal of Intelligent Manufacturing","","27","5","10.1007/s10845-014-0927-2","Jae-Min ChaSuk-Hwan SuhJean-Yves HascoetIan Stroud","2016","http://link.springer.com/article/10.1007/s10845-014-0927-2","Article"
"Model-based engineering for change-tolerant systems","Innovations in Systems and Software Engineering","","3","4","10.1007/s11334-007-0038-8","Shawn BohnerRamya RavichandarJames Arthur","2007","http://link.springer.com/article/10.1007/s11334-007-0038-8","Article"
"Step 5: Repeat to Design Your Components","UML Applied: A .NET Perspective","","","","10.1007/978-1-4302-0712-2_10","Martin L. Shoemaker","2004","http://link.springer.com/chapter/10.1007/978-1-4302-0712-2_10","Chapter"
"1.1.Grundlage, Methoden, Apparate, Reagentien, Automation, Datenverarbeitung","Fresenius' Zeitschrift für analytische Chemie","","295","2 - 3","10.1007/BF01171505","","1979","http://link.springer.com/article/10.1007/BF01171505","Article"
"Multi-agent systems with reinforcement hierarchical neuro-fuzzy models","Autonomous Agents and Multi-Agent Systems","","28","6","10.1007/s10458-013-9242-0","Marcelo França CorrêaMarley VellascoKarla Figueiredo","2014","http://link.springer.com/article/10.1007/s10458-013-9242-0","Article"
"A Development Process for Usable Large Scale Interactive Critical Systems: Application to Satellite Ground Segments","Human-Centered Software Engineering","","","","10.1007/978-3-642-34347-6_5","Célia MartiniePhilippe PalanqueDavid NavarreEric Barboni","2012","http://link.springer.com/chapter/10.1007/978-3-642-34347-6_5","Chapter"
"Strategy selection for sustainable manufacturing with integrated AHP-VIKOR method under interval-valued fuzzy environment","The International Journal of Advanced Manufacturing Technology","","84","1 - 4","10.1007/s00170-015-7553-9","Sujit SinghEzutah Udoncy OluguSiti Nurmaya MusaAbu Bakar MahatKuan Yew Wong","2016","http://link.springer.com/article/10.1007/s00170-015-7553-9","Article"
"Historical Context","Influence of Psychological Factors on Product Development","","","","10.1007/0-306-48079-4_2","","2002","http://link.springer.com/chapter/10.1007/0-306-48079-4_2","Chapter"
"Balanced Automation","Computer-Assisted Management and Control of Manufacturing Systems","","","","10.1007/978-1-4471-0959-4_14","L. M. Camarinha-MatosR. RabeloL. Osório","1997","http://link.springer.com/chapter/10.1007/978-1-4471-0959-4_14","Chapter"
"Methodologies to evolve formal specifications through refinement and retrenchment in an analysis–revision cycle","Requirements Engineering","","14","3","10.1007/s00766-009-0074-z","Jorge García-DuqueJosé J. Pazos-AriasMartín López-NoresYolanda Blanco-FernándezAna Fernández-VilasRebeca P. Díaz-RedondoManuel Ramos-CabrerAlberto Gil-Solla","2009","http://link.springer.com/article/10.1007/s00766-009-0074-z","Article"
"Keyboards and keying An annotated bibliography of the literature from 1878 to 1999","Universal Access in the Information Society","","1","2","10.1007/s102090100012","Karl H.E. Kroemer","2001","http://link.springer.com/article/10.1007/s102090100012","Article"
"Workshops and Tutorials at the UML 2001 Conference","≪UML≫ 2001 — The Unified Modeling Language. Modeling Languages, Concepts, and Tools","","","","10.1007/3-540-45441-1_36","Heinrich Hussmann","2001","http://link.springer.com/chapter/10.1007/3-540-45441-1_36","Chapter"
"A dynamic spectrum access network based on cognitive radio","Journal of Electronics (China)","","27","5","10.1007/s11767-011-0622-9","Pinyi RenJun WangShaoqian Li","2010","http://link.springer.com/article/10.1007/s11767-011-0622-9","Article"
"A multiple comparative study of test-with development product changes and their effects on team speed and product quality","Empirical Software Engineering","","16","2","10.1007/s10664-010-9137-5","Steve BannermanAndrew Martin","2011","http://link.springer.com/article/10.1007/s10664-010-9137-5","Article"
"Hunting for Aardvarks: Can Software Security Be Measured?","Multidisciplinary Research and Practice for Information Systems","","","","10.1007/978-3-642-32498-7_7","Martin Gilje Jaatun","2012","http://link.springer.com/chapter/10.1007/978-3-642-32498-7_7","Chapter"
"A","StarBriefs Plus","","","","10.1007/978-0-306-48603-6_1","André Heck","2004","http://link.springer.com/chapter/10.1007/978-0-306-48603-6_1","Chapter"
"Application of Analytic Network Process for the Design of Flexible Manufacturing Systems","Global Journal of Flexible Systems Management","","11","1 - 2","10.1007/BF03396577","Rambabu KodaliG. Anand","2010","http://link.springer.com/article/10.1007/BF03396577","Article"
"IT at the Shop Floor — Criteria-based Methodologies for Human-Machine Task Allocation","Shop Floor Control — A Systems Perspective","","","","10.1007/978-3-642-60313-6_12","Eric SchererMartina Zölch","1998","http://link.springer.com/chapter/10.1007/978-3-642-60313-6_12","Chapter"
"Automating Object-Oriented Software Development Methods","Object-Oriented Technology","","","","10.1007/3-540-47853-1_4","Bedir TekinerdoğanMotoshi SaekiGerson SunyéPim van den BroekPavel Hruby","2002","http://link.springer.com/chapter/10.1007/3-540-47853-1_4","Chapter"
"Quality and the Service Level Agreement","Outsourcing to India","","","","10.1007/978-3-662-09168-5_19","Mark Kobayashi-Hillary","2004","http://link.springer.com/chapter/10.1007/978-3-662-09168-5_19","Chapter"
"S","The Information Security Dictionary","","","","10.1007/1-4020-7927-3_19","","2004","http://link.springer.com/chapter/10.1007/1-4020-7927-3_19","Chapter"
"Motivation and Outlook","Converging Technologies for Improving Human Performance","","","","10.1007/978-94-017-0359-8_2","J. CantonPhilip J. KuekesR. Stanley WilliamsNewt GingrichCharles H. HuettnerPhillip J. BondS. VenneriM. HirschbeinM. DastoorJohn WatsonMihail C. Roco","2003","http://link.springer.com/chapter/10.1007/978-94-017-0359-8_2","Chapter"
"A new fuzzy network data envelopment analysis model for measuring the performance of agility in supply chains","The International Journal of Advanced Manufacturing Technology","","69","1 - 4","10.1007/s00170-013-5021-y","Kaveh Khalili-DamghaniMadjid Tavana","2013","http://link.springer.com/article/10.1007/s00170-013-5021-y","Article"
"MIDAS/BD: A Methodological Framework for Web Database Design","Conceptual Modeling for New Information Systems Technologies","","","","10.1007/3-540-46140-X_18","E. MarcosP. CáceresB. VelaJ. M. Cavero","2002","http://link.springer.com/chapter/10.1007/3-540-46140-X_18","Chapter"
"Agility appraisal for integrated supply chain using generalized trapezoidal fuzzy numbers set","The International Journal of Advanced Manufacturing Technology","","68","5 - 8","10.1007/s00170-013-4937-6","Chitrasen SamantraSaurav DattaSwagatika MishraSiba Sankar Mahapatra","2013","http://link.springer.com/article/10.1007/s00170-013-4937-6","Article"
"From Reengineering to Continuous Process Adaptation","Business Process Engineering","","","","10.1007/978-1-4615-5091-4_1","A.-W. ScheerTh. Allweyer","1999","http://link.springer.com/chapter/10.1007/978-1-4615-5091-4_1","Chapter"
"Overview of sustainable biomass supply chain: from concept to modelling","Clean Technologies and Environmental Policy","","18","7","10.1007/s10098-016-1155-6","Boon Hooi HongBing Shen HowHon Loong Lam","2016","http://link.springer.com/article/10.1007/s10098-016-1155-6","Article"
"Towards a reference architecture for fuel-based carbon management systems in the logistics industry","Information Systems Frontiers","","15","5","10.1007/s10796-013-9416-y","M. E. IacobM. J. van SinderenM. SteenwijkP. Verkroost","2013","http://link.springer.com/article/10.1007/s10796-013-9416-y","Article"
"Implementing Lean into a Servicing Environment","Advances in Production Management Systems. New Challenges, New Approaches","","","","10.1007/978-3-642-16358-6_73","Ross RitchieJannis Angelis","2010","http://link.springer.com/chapter/10.1007/978-3-642-16358-6_73","Chapter"
"Ionic Liquids","Modern Electrochemistry 1","","","","10.1007/0-306-46909-X_5","","1998","http://link.springer.com/chapter/10.1007/0-306-46909-X_5","Chapter"
"Towards Automating Source-Consistent UML Refactorings","«UML» 2003 - The Unified Modeling Language. Modeling Languages and Applications","","","","10.1007/978-3-540-45221-8_15","Pieter Van GorpHans StentenTom MensSerge Demeyer","2003","http://link.springer.com/chapter/10.1007/978-3-540-45221-8_15","Chapter"
"Verification, Validation, and Accreditation of Simulation Models","Applied System Simulation","","","","10.1007/978-1-4419-9218-5_21","Dale K. Pace","2003","http://link.springer.com/chapter/10.1007/978-1-4419-9218-5_21","Chapter"
"Symposium on Harrison's “Lean and Mean”: What are the questions?","Small Business Economics","","7","5","10.1007/BF01302736","Bennett Harrison","1995","http://link.springer.com/article/10.1007/BF01302736","Article"
"A history of AI and Law in 50 papers: 25 years of the international conference on AI and Law","Artificial Intelligence and Law","","20","3","10.1007/s10506-012-9131-x","Trevor Bench-CaponMichał AraszkiewiczKevin AshleyKatie AtkinsonFloris BexFilipe BorgesDaniele BourcierPaul BourgineJack G. ConradEnrico FrancesconiThomas F. GordonGuido GovernatoriJochen L. LeidnerDavid D. LewisRonald P. LouiL. Thorne McCarty","2012","http://link.springer.com/article/10.1007/s10506-012-9131-x","Article"
"H","The Informatics Handbook","","","","10.1007/978-1-4615-2093-1_9","Stewart Fist","1996","http://link.springer.com/chapter/10.1007/978-1-4615-2093-1_9","Chapter"
"Introducing Object Validation and Navigation in Software Process to Improve Software Quality","Product Focused Software Process Improvement","","","","10.1007/3-540-36209-6_10","Gopalakrishna Raghavan","2002","http://link.springer.com/chapter/10.1007/3-540-36209-6_10","Chapter"
"New Machine Tools and Systems","Manufacturing Technologies for Machines of the Future","","","","10.1007/978-3-642-55776-7_18","Dipl. Eng. M. MandelliProf., Dr. Eng. T. NagaoProf., Dr. Eng. Y. HatamuraProf., Dr. Eng. M. MitsuishiProf., Dr. Eng. M. Nakao","2003","http://link.springer.com/chapter/10.1007/978-3-642-55776-7_18","Chapter"
"Introductory overview","Information Management in Computer Integrated Manufacturing","","","","10.1007/3-540-60286-0_94","Günter SpurKarl Mertins","1995","http://link.springer.com/chapter/10.1007/3-540-60286-0_94","Chapter"
"An integrated stochastic-fuzzy modeling approach for supply chain leanness evaluation","The International Journal of Advanced Manufacturing Technology","","68","5 - 8","10.1007/s00170-013-4966-1","Farzad BehrouziKuan Yew Wong","2013","http://link.springer.com/article/10.1007/s00170-013-4966-1","Article"
"Defining a Scope for COTS Selection Methods","Situational Method Engineering: Fundamentals and Experiences","","","","10.1007/978-0-387-73947-2_23","Fredy NavarretePere BotellaXavier Franch","2007","http://link.springer.com/chapter/10.1007/978-0-387-73947-2_23","Chapter"
"Domains as a Prerequisite for Requirements and Software Domain Perspectives and Facets, Requirements Aspects and Software Views","Requirements Targeting Software and Systems Engineering","","","","10.1007/10692867_1","Dines Bjørner","1998","http://link.springer.com/chapter/10.1007/10692867_1","Chapter"
"Planning and Scheduling based on Petri Nets","Petri Nets in Flexible and Agile Automation","","","","10.1007/978-1-4615-2231-7_5","Jean-Marie ProthIoannis Minis","1995","http://link.springer.com/chapter/10.1007/978-1-4615-2231-7_5","Chapter"
"The impact of big data on world-class sustainable manufacturing","The International Journal of Advanced Manufacturing Technology","","84","1 - 4","10.1007/s00170-015-7674-1","Rameshwar DubeyAngappa GunasekaranStephen J. ChildeSamuel Fosso WambaThanos Papadopoulos","2016","http://link.springer.com/article/10.1007/s00170-015-7674-1","Article"
"Genesys: service-oriented construction of property conform code generators","Innovations in Systems and Software Engineering","","4","4","10.1007/s11334-008-0071-2","Sven JörgesTiziana MargariaBernhard Steffen","2008","http://link.springer.com/article/10.1007/s11334-008-0071-2","Article"
"Technical Management: Who and What We Are","The Technical Manager’s Handbook","","","","10.1007/978-1-4615-4127-1_1","Melvin Silverman Ph.D., P.E.","1996","http://link.springer.com/chapter/10.1007/978-1-4615-4127-1_1","Chapter"
"Users’ involvement may help respect social and ethical values and improve software quality","Information Systems Frontiers","","12","4","10.1007/s10796-009-9202-z","Barbara Begier","2010","http://link.springer.com/article/10.1007/s10796-009-9202-z","Article"
"Internet of connected ServGoods: Considerations, consequences and concerns","Journal of Systems Science and Systems Engineering","","24","2","10.1007/s11518-015-5273-1","James M. Tien","2015","http://link.springer.com/article/10.1007/s11518-015-5273-1","Article"
"A service requirements engineering method for a digital service ecosystem","Service Oriented Computing and Applications","","10","2","10.1007/s11761-015-0175-0","Anne ImmonenEila OvaskaJarmo KalaojaDaniel Pakkala","2016","http://link.springer.com/article/10.1007/s11761-015-0175-0","Article"
"An agile operations management system for green factory","International Journal of Precision Engineering and Manufacturing-Green Technology","","1","2","10.1007/s40684-014-0018-z","Hyunjei JoSang Do NohYongju Cho","2014","http://link.springer.com/article/10.1007/s40684-014-0018-z","Article"
"Exploring the costs of technical debt management – a case study","Empirical Software Engineering","","21","1","10.1007/s10664-014-9351-7","Yuepu GuoRodrigo Oliveira SpínolaCarolyn Seaman","2016","http://link.springer.com/article/10.1007/s10664-014-9351-7","Article"
"Bayesian networks for enhancement of requirements engineering: a literature review","Requirements Engineering","","21","4","10.1007/s00766-015-0225-3","Isabel M. del ÁguilaJosé del Sagrado","2016","http://link.springer.com/article/10.1007/s00766-015-0225-3","Article"
"What is Business Process Management: A Two Stage Literature Review of an Emerging Field","Research and Practical Issues of Enterprise Information Systems II","","","","10.1007/978-0-387-75902-9_3","Charles MøllerCarsten J. MaackRune D. Tan","2008","http://link.springer.com/chapter/10.1007/978-0-387-75902-9_3","Chapter"
"F","Dictionary of Electronics, Computing and Telecommunications/Wörterbuch der Elektronik, Datentechnik und Telekommunikation","","","","10.1007/978-3-642-98090-9_6","Dipl.-Ing. Vittorio Ferretti","2000","http://link.springer.com/chapter/10.1007/978-3-642-98090-9_6","Chapter"
"GUITAR: an innovative tool for automated testing of GUI-driven software","Automated Software Engineering","","21","1","10.1007/s10515-013-0128-9","Bao N. NguyenBryan RobbinsIshan BanerjeeAtif Memon","2014","http://link.springer.com/article/10.1007/s10515-013-0128-9","Article"
"Guiding the selection of service-oriented software engineering methodologies","Service Oriented Computing and Applications","","5","4","10.1007/s11761-011-0080-0","Qing GuPatricia Lago","2011","http://link.springer.com/article/10.1007/s11761-011-0080-0","Article"
"Shop Controllers-Managers for Intelligent Manufacturing","Computer-Assisted Management and Control of Manufacturing Systems","","","","10.1007/978-1-4471-0959-4_8","R. C. MicheliniG. M. AcacciaM. CallegariR. M. MolfinoR. P. Razzoli","1997","http://link.springer.com/chapter/10.1007/978-1-4471-0959-4_8","Chapter"
"Major motivations for extract method refactorings: analysis based on interviews and change histories","Frontiers of Computer Science","","10","4","10.1007/s11704-016-5131-4","Wenmei LiuHui Liu","2016","http://link.springer.com/article/10.1007/s11704-016-5131-4","Article"
"M","StarBriefs 2001","","","","10.1007/978-94-011-4351-6_13","André Heck","2001","http://link.springer.com/chapter/10.1007/978-94-011-4351-6_13","Chapter"
"VCS: value chains simulator, a tool for value analysis of manufacturing enterprise processes (a value-based decision support tool)","Journal of Intelligent Manufacturing","","23","4","10.1007/s10845-010-0452-x","Magali Bosch-MauchandAli SiadatNicolas PerryAlain Bernard","2012","http://link.springer.com/article/10.1007/s10845-010-0452-x","Article"
